Year,Interest_Rate
2022,1.7046
2021,0.3169
2020,4.136
2019,6.8949
2018,5.3617
2017,5.3276
2016,6.2327
2015,7.5565
2014,6.6952
2013,3.866
2012,2.4735
2011,1.318
2010,-1.9839
2009,4.8086
2008,3.7718
2007,5.6818
2006,2.5706
2005,4.8551
2004,4.9101
2003,7.3079
2002,7.9072
2001,8.5914
2000,8.3426
1999,9.1912
1998,5.1213
1997,6.9096
1996,7.793
1995,5.8642
1994,4.3371
1993,5.8148
1992,9.1327
1991,3.6247
1990,5.2695
1989,7.4358
1988,7.6386
1987,6.5602
1986,9.0932
1985,8.6817
1984,7.9471
1983,7.321
1982,7.7747
1981,5.1182
1980,4.4765
1979,-1.0611
1978,10.7746
